source,target,weight,ref_type
skills/python-dev/SKILL.md,skills/python-dev/references/pandas.md,1,wikilink
skills/python-dev/SKILL.md,skills/python-dev/references/testing.md,1,wikilink
skills/python-dev/SKILL.md,skills/python-dev/references/type-safety.md,1,wikilink
skills/python-dev/references/bigquery.md,skills/python-dev/references/pandas.md,1,python_import
skills/python-dev/references/fastapi.md,skills/python-dev/references/fastapi.md,6,python_import_from
skills/python-dev/references/fastmcp.md,skills/python-dev/references/fastmcp.md,4,python_import_from
skills/python-dev/references/hydra.md,skills/python-dev/references/hydra.md,1,python_import
skills/python-dev/references/hydra.md,skills/python-dev/references/hydra.md,1,python_import_from
skills/python-dev/references/pandas.md,skills/python-dev/references/pandas.md,1,python_import
skills/qa-eval/SKILL.md,specs/qa-eval.md,1,wikilink
skills/remember/SKILL.md,AXIOMS.md,2,wikilink
skills/remember/SKILL.md,skills/remember/workflows/capture.md,1,wikilink
skills/remember/SKILL.md,skills/remember/workflows/prune.md,1,wikilink
skills/remember/SKILL.md,skills/remember/workflows/validate.md,1,wikilink
skills/session-insights/SKILL.md,HEURISTICS.md,1,env_path
skills/session-insights/SKILL.md,skills/session-insights/references/output-locations.md,1,wikilink
skills/session-insights/scripts/extract_narrative.py,lib/session_reader.py,1,python_import_from
skills/session-insights/scripts/find_sessions.py,lib/session_reader.py,1,python_import_from
skills/tasks/README.md,skills/tasks/SKILL.md,1,wikilink_aliased
skills/tasks/README.md,skills/tasks/scripts/task_add.py,1,env_path
skills/tasks/README.md,skills/tasks/scripts/task_archive.py,1,env_path
skills/tasks/README.md,skills/tasks/scripts/task_view.py,1,env_path
skills/tasks/README.md,skills/tasks/server.py,2,env_path
skills/tasks/SKILL.md,skills/tasks/workflows/email-capture.md,1,wikilink
skills/tasks/scripts/task_add.py,lib/paths.py,1,python_import_from
skills/tasks/scripts/task_add.py,skills/tasks/scripts/task_add.py,4,env_path
skills/tasks/scripts/task_archive.py,lib/paths.py,1,python_import_from
skills/tasks/scripts/task_archive.py,skills/tasks/scripts/task_archive.py,4,env_path
skills/tasks/scripts/task_item_add.py,lib/paths.py,1,python_import_from
skills/tasks/scripts/task_item_add.py,skills/tasks/scripts/task_item_add.py,4,env_path
skills/tasks/scripts/task_update.py,lib/paths.py,1,python_import_from
skills/tasks/scripts/task_update.py,skills/tasks/scripts/task_update.py,5,env_path
skills/tasks/scripts/task_view.py,lib/paths.py,1,python_import_from
skills/tasks/scripts/task_view.py,skills/tasks/scripts/task_view.py,1,env_path
skills/tasks/server.py,skills/tasks/models.py,1,python_import_from
skills/tasks/task_loader.py,skills/tasks/models.py,1,python_import_from
skills/tasks/task_loader.py,skills/tasks/task_ops.py,1,python_import_from
skills/tasks/task_ops.py,skills/tasks/models.py,1,python_import_from
skills/training-set-builder/SKILL.md,AXIOMS.md,1,wikilink
skills/transcript/SKILL.md,lib/session_reader.py,1,python_import_from
specs/analyst-skill.md,skills/analyst/SKILL.md,1,wikilink
specs/audit-skill.md,AXIOMS.md,2,wikilink
specs/audit-skill.md,HEURISTICS.md,1,wikilink
specs/audit-skill.md,INDEX.md,1,wikilink
specs/audit-skill.md,RULES.md,1,wikilink
specs/audit-skill.md,specs/documentation-architecture.md,1,wikilink
specs/audit-skill.md,specs/framework-health.md,1,wikilink_aliased
specs/cloudflare-prompt-logging.md,hooks/user_prompt_submit.py,1,env_path
specs/cloudflare-prompt-logging.md,specs/dashboard-skill.md,1,wikilink
specs/conclusion-verification-hook.md,hooks/verify_conclusions.py,1,env_path
specs/daily notes.md,specs/dashboard-skill.md,1,wikilink
specs/daily notes.md,specs/session-insights-skill.md,1,wikilink
specs/dashboard-skill.md,skills/dashboard/SKILL.md,1,wikilink
specs/dashboard-skill.md,specs/session-insights-skill.md,1,wikilink
specs/documentation-architecture.md,specs/audit-skill.md,1,wikilink
specs/encode-command-spec.md,skills/framework/workflows/01-design-new-component.md,1,wikilink
specs/enforcement.md,RULES.md,1,wikilink
specs/enforcement.md,docs/ENFORCEMENT.md,1,wikilink_aliased
specs/enforcement.md,specs/prompt-hydration.md,1,wikilink
specs/execution-flow-spec.md,specs/gate-agent-architecture.md,1,wikilink
specs/feature-dev-skill.md,AXIOMS.md,2,wikilink
specs/feature-dev-skill.md,specs/python-dev-skill.md,1,wikilink
specs/framework-health.md,INDEX.md,1,wikilink
specs/framework-health.md,RULES.md,1,wikilink
specs/framework-health.md,specs/audit-skill.md,1,wikilink
specs/framework-health.md,specs/specs.md,1,wikilink
specs/framework-skill.md,AXIOMS.md,1,wikilink
specs/framework-skill.md,HEURISTICS.md,1,wikilink
specs/framework-skill.md,INDEX.md,1,wikilink
specs/framework-skill.md,VISION.md,1,wikilink
specs/framework-skill.md,skills/framework/SKILL.md,1,wikilink
specs/framework-skill.md,skills/framework/references/claude-code-config.md,1,wikilink
specs/framework-skill.md,skills/framework/references/e2e-test-harness.md,1,wikilink
specs/framework-skill.md,skills/framework/references/hooks_guide.md,1,wikilink
specs/framework-skill.md,skills/framework/references/script-design-guide.md,1,wikilink
specs/framework-skill.md,skills/framework/workflows/01-design-new-component.md,1,wikilink
specs/framework-skill.md,skills/framework/workflows/02-debug-framework-issue.md,1,wikilink
specs/framework-skill.md,skills/framework/workflows/03-experiment-design.md,1,wikilink
specs/framework-skill.md,skills/framework/workflows/04-monitor-prevent-bloat.md,1,wikilink
specs/framework-skill.md,skills/framework/workflows/06-develop-specification.md,1,wikilink
specs/garden-skill.md,skills/garden/SKILL.md,1,wikilink
specs/gate-agent-architecture.md,AXIOMS.md,1,wikilink
specs/gate-agent-architecture.md,HEURISTICS.md,1,wikilink
specs/gate-agent-architecture.md,REMINDERS.md,4,wikilink
specs/gate-agent-architecture.md,RULES.md,1,wikilink
specs/gate-agent-architecture.md,skills/remember/SKILL.md,1,wikilink
specs/gate-agent-architecture.md,specs/execution-flow-spec.md,1,wikilink
specs/gate-agent-architecture.md,specs/prompt-hydration.md,1,wikilink
specs/gate-agent-architecture.md,specs/ultra-vires-custodiet.md,1,wikilink
specs/hook-router.md,hooks/router.py,1,wikilink_aliased
specs/learning-log-skill.md,AXIOMS.md,3,wikilink
specs/learning-log-skill.md,HEURISTICS.md,1,wikilink
specs/learning-log-skill.md,ROADMAP.md,1,wikilink
specs/meta-framework-advisor.md,AXIOMS.md,1,env_path
specs/meta-framework-advisor.md,HEURISTICS.md,1,env_path
specs/meta-framework-advisor.md,ROADMAP.md,1,env_path
specs/meta-framework-advisor.md,VISION.md,1,env_path
specs/meta-framework-advisor.md,skills/framework/SKILL.md,1,env_path
specs/plan-quality-gate.md,HEURISTICS.md,1,wikilink
specs/plan-quality-gate.md,specs/prompt-hydration.md,1,wikilink
specs/prompt-hydration.md,REMINDERS.md,1,wikilink
specs/python-dev-skill.md,AXIOMS.md,3,wikilink
specs/python-dev-skill.md,specs/framework-skill.md,4,wikilink
specs/reflexivity.md,AXIOMS.md,3,wikilink
specs/reflexivity.md,HEURISTICS.md,1,wikilink
specs/reflexivity.md,RULES.md,1,wikilink
specs/reflexivity.md,specs/learning-log-skill.md,1,wikilink
specs/remember-skill.md,AXIOMS.md,2,wikilink
specs/remember-skill.md,specs/feature-dev-skill.md,1,wikilink
specs/remember-skill.md,specs/tasks-skill.md,1,wikilink
